Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 2 1
3 7 1
4 14 1
5 29 1
6 57 1
7 106 1
8 193 1
9 321 1
10 515 1
11 792 1
12 1175 1
13 1715 1
14 2455 1
15 3440 1
16 4730 1
17 6448 1
18 8661 1
19 11459 1
20 14950 1
21 19221 1
22 24452 1
23 30855 1
24 38538 1
25 47676 1
26 58394 1
27 70855 1
28 85189 1
29 101575 1
30 120209 1
31 141268 1
32 164936 1
33 191386 1
34 220924 1
35 253713 1
36 290020 1
37 330132 1
38 374318 1
39 422797 1
40 475826 1
41 533673 1
42 596638 1
43 665173 1
44 739596 1
45 820235 1
46 907449 1
47 1001656 1
48 1103193 1
49 1212275 1
50 1329178 1
51 1454209 1
52 1586996 2
53 1721250 5
54 1839343 12
55 1907373 61
56 1905056 70
57 1484234 99
58 1918805 386
59 1709193 320
60 1524727 279
61 1267680 262
62 1089557 188
63 770493 96
64 637588 79
65 647091 54
66 572962 131
67 499296 137
68 508815 262
69 504416 499
70 452247 636
71 376633 572
72 328882 709
73 277077 779
74 231186 838
75 190083 834
76 154798 838
77 124647 847
78 98912 845
79 77313 836
80 59530 852
81 45194 864
82 33456 866
83 24172 866
84 16991 865
85 11576 866
86 7601 866
87 4747 860
88 2745 827
89 1048 653
90 167 550
91 43 645
92 4 739
93 0 812
94 0 848
95 0 865
96 0 866
97 0 866
