Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 786032 18
4 863709 13
5 1344889 78
6 1636192 119
7 1572792 106
8 1464226 88
9 1543276 82
10 1547188 74
11 1499230 57
12 1554372 46
13 1528978 21
14 1585162 56
15 1566440 39
16 1666416 80
17 1703910 159
18 1662636 241
19 1649618 317
20 1639840 278
21 1551634 230
22 1612305 350
23 1523841 285
24 1520304 312
25 1483872 301
26 1470814 310
27 1439729 369
28 1407307 369
29 1382118 374
30 1346191 368
31 1312738 361
32 1288206 371
33 1270731 378
34 1249084 389
35 1219446 469
36 1195767 481
37 1179532 501
38 1172096 539
39 1156576 580
40 1134438 614
41 1116533 650
42 1091486 677
43 1068210 701
44 1043039 730
45 1015932 751
46 989677 783
47 961267 807
48 932076 818
49 901998 820
50 872118 827
51 841955 829
52 812083 833
53 782278 835
54 752316 838
55 721663 839
56 691155 837
57 661479 840
58 631205 840
59 601202 838
60 571061 842
61 541338 851
62 511144 854
63 480846 854
64 450643 858
65 420327 857
66 390114 861
67 359830 862
68 329561 864
69 299281 866
70 268970 866
71 238658 866
72 208346 866
73 178034 866
74 147723 866
75 117419 866
76 90008 866
77 67434 866
78 49200 866
79 34750 866
80 23597 866
81 15282 866
82 9349 866
83 5276 865
84 2652 849
85 248 411
86 56 558
87 5 727
88 0 832
89 0 866
90 0 866
