Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 2 1
4 8 1
5 16 1
6 37 1
7 80 1
8 157 1
9 301 1
10 544 1
11 929 1
12 1563 1
13 2518 1
14 3959 1
15 6051 1
16 9002 1
17 12940 1
18 18002 1
19 24405 1
20 32262 1
21 41759 1
22 52988 1
23 66087 1
24 81261 1
25 98624 1
26 118375 1
27 140719 1
28 165854 1
29 193876 1
30 224892 1
31 259186 1
32 296731 1
33 337720 1
34 382332 1
35 430662 1
36 482936 1
37 539313 1
38 600006 1
39 665165 1
40 734923 1
41 809374 1
42 888732 1
43 973298 1
44 1063303 1
45 1158943 1
46 1260503 1
47 1368309 1
48 1482662 1
49 1603696 1
50 1549678 13
51 1791669 24
52 1782261 125
53 1540360 131
54 953629 69
55 760128 34
56 505640 15
57 785810 64
58 1616152 340
59 1393229 249
60 869393 30
61 564767 12
62 552157 8
63 574904 9
64 560032 63
65 506663 48
66 477325 62
67 436297 88
68 370294 132
69 359266 266
70 333195 573
71 281808 727
72 230725 734
73 185327 742
74 149679 829
75 117216 853
76 88768 822
77 67367 858
78 49193 863
79 34750 866
80 23597 866
81 15282 866
82 9349 866
83 5276 865
84 2652 849
85 248 411
86 56 558
87 5 727
88 0 832
89 0 866
90 0 866
